DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
up	IGKV2-28; IGKV2D-30; IGKV3D-20; IGKV1-12; IGLC7; IGKV2-29; MASP2; CFB; C3; IGKV1D-33; IGKV1-33; IGKV1-39; IGKV1-17; IGKV1D-16; IGKV1-5; IGKV1D-12; IGKV2D-40; IGKV2D-28; IGKV3-20; IGKV3-15; IGLV1-44; IGLV1-47; IGLV1-51; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-25; IGLV3-27; IGHV1-69; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-13; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-70; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHG1; IGHG2; IGHG3; IGHG4; C1QB; C1QC; IGLV7-43; IGKV1-16; IGKV1D-39; IGKV3-11; IGKV2-30; IGKV4-1; IGKV5-2; IGHV4-34; C8A; C8B; IGLC6; IGHV1-2; FCN2; RGCC;	GO:0006956~complement activation	66	92	71.7391304347826	0.000116597814582731	0.0736398483243217	1	1	0.944603888600525	0.999999999479956	0.711695302915145
down	FXYD1; KCNK3; CASQ2; GRID2; ATP8B1; ATP2C2; ATP6V1G1; ATP6V1G2; S100A6; GPR89B; ATP1B2; ATP2B1; GLRA2; CASQ1; GJC1; ATP6V1E1; CHRNA7; SCNN1A; GRIA1; GRIA2; GRIA4; ATP1A2; ATP4B; SCNN1B; SCNN1G; CLCN5; CLCN6; CLCNKA; CLCNKB; ATP1B3; FXYD4; FKBP1B; ASIC1; ATP8B2; ATP7A; PLP2; ASPH; TRDN; FXYD3; LASP1; CLCA4; RYR3; ATP6AP1; GRIK4; GRIK5; ANO4; ZACN; SLC9B1; SFXN4; SLC24A5; ANO5; TMC3; SLC9B2; OSTM1; UNC80; ATP6V0D2; ATP6V1C2; ATP6V0E2; SFXN5; ATP6V1E2; SFXN2; NEDD4L; TMEM109; ATP13A2; ANO2; ASIC5; ATP10D; UNC79; ASIC3; ATP6V1H; SLC24A2; CLCA2; ATP6V0A2; ATP6V1D; NOX1; CHRNA10; GABRB1; CHRNA1; GLRA4; CHRNB3; GABRR1; GABRA3; CHRNA5; CHRFAM7A; GABRG3; GLRA1; CHRNA3; CHRNB1; GABRP; HTR3C; GABRQ; GABRE; GABRR3; CHRNB4;	GO:0034220~ion transmembrane transport	94	208	45.1923076923077	0.000138667169406692	0.0394768097904677	1	1	0.772792135103495	1	0.382703927152884
down	CDC7; CHEK1; ORC5; ORC4; KIN; KAT7; NFIC; POLA1; CHTF8; RPA2; PTMS; RRM1; MCM3; RPA1; POLD1; RBMS1; RRM2; DUT; MCM4; MCM5; RPA3; RFC2; BRCA1; IGHMBP2; FEN1; NASP; BLM; NAP1L1; POLE2; POLE; DHX9; CHAF1B; ORC1; POLA2; NFIX; CCDC88A; TBRG1; E4F1; SDE2; RAD9B; MCM10; RBBP6; STRA8; SLX4; ATRIP; ING5; KCTD13; UPF1; KAT5; FAM111A; DNAJC2; RBBP8; BARD1; CINP; REPIN1; RMI1; CLSPN; POLE3; DONSON; POLK; DBF4; POLL; MCM8; POLI; TIMELESS; TOP1MT;	GO:0006260~DNA replication	66	132	50	0.000153481472929373	0.041124006423135	1	1	0.78811422346089	1	0.398672507781884
down	TNFRSF11B; ACACB; KCNK3; XPO1; NPC1; TP73; DAB1; SRP72; ABCC6; PNP; MYC; MT-ND1; AMH; FABP3; LPL; THBS1; SRP19; GIP; XRCC5; ENO3; TIMP2; CTPS1; IGFBP2; XRCC1; CDH3; GAL; CCNO; UQCRC2; CCND1; HMGB2; AK4; CALR; ABCD3; HTR2C; AQP1; ALDH3A1; ABCC1; ADRA1A; HNF1B; SRP14; TGFBR2; CDKN1A; HTR2B; GATA4; SLC6A11; GCLM; PGF; PPOX; CDK9; MAP2K6; TERF1; PMS1; FGF8; S100A10; SRP54; SST; DAD1; SORD; HMGCS1; XPC; GNA12; EMX2; PTCH1; LRP8; PDE3A; TGIF1; CA9; BLOC1S3; TP53I13; DVL3; GAD1; NPAS2; TXN2; GABRG3; SEMA3C; ABCA2; RAB6C; ABCG8; ABCG5; SLC12A5; RPP21; NPC1L1; SCN11A; VAV3; RPH3AL; FZD1; JUND; ANXA1;	GO:0042493~response to drug	88	193	45.5958549222798	0.000175660998569804	0.0457220484848834	1	1	0.811026830396787	1	0.443247760027068
down	SRRM4; SAP18; RBFOX2; ZBTB7A; HNRNPA1; HNRNPL; PTBP1; RBMX; MAGOH; TRA2B; RBM10; HNRNPU; SRSF6; RNPS1; CELF5; RBM15B; SRSF12; RBM15; RBM4; RBM24; CELF4; NSRP1; RBM8A; RBFOX3; SRSF4; MBNL2; IK; SRSF1; SRSF8; CELF2; SRSF9; RBM14-RBM4; SRSF3; RBM19; RBFOX1; SART3; SRSF2; RBM17; SRSF7; ZC3H10; RBM7;	GO:0000381~regulation of alternative mRNA splicing, via spliceosome	41	69	59.4202898550725	0.000191393536397522	0.0484331976828173	1	1	0.827293951049003	1	0.469530720850241
down	TP73; PPM1G; LAMTOR5; PRKAB2; GAS7; CDC123; PPP1R15A; MFN2; MYC; HRAS; TGFB1; TP53; INHA; THBS1; CXCL8; GADD45A; IL12B; TGFBR1; CDKN1A; MTOR; NOTCH1; SOX2; MAP2K6; PRKAA2; GAS1; SMAD3; PKD1; CDK6; MAP2K1; PRKAA1; RHEB; DHCR24; ZFHX3; CDKN3; TBRG1; RRAGB; LAMTOR1; ZBTB49; BRINP3; ERN2; RRAGA; VASH1; SLC38A9; APBB2; TBRG4; MTBP; SGSM3; KIF20B; CGREF1; CGRRF1; BARD1; TSG101; MLST8; BRINP2; CAB39L; WDR6; TCF7L2; RASSF1; RPRM; BTG4; PRKAG3; PRKAG2; LAMTOR2; WHAMMP3; PRR11;	GO:0007050~cell cycle arrest	65	131	49.618320610687	0.000201732281712164	0.0496697590918327	1	1	0.837342357654982	1	0.481518439967052
up	TARM1; SNAP23; SIRPB1; SDCBP; DDX3X; RNASET2; MAN2B1; PDXK; ADAM10; APAF1; SLC27A2; AGPAT2; SURF4; ARPC5; GMFG; TLR2; TOM1; LILRB3; CPNE3; DNAJC13; CREG1; ATP6AP2; DGAT1; TRPM2; STK10; TMEM63A; ATG7; VNN1; RAB3D; SERPINA1; C3; CST3; HLA-B; HLA-H; LRG1; ORM1; TTR; LTF; CAT; FUCA1; ARG1; ITGB2; S100A8; GLA; S100A9; PYGL; CTSD; CAPN1; PSAP; HEXB; CTSB; HSP90AA1; ELANE; MME; CD14; PTPRC; ACAA1; HMGB1; CTSH; FGR; ALOX5; LTA4H; HSPA1A; HSPA1B; RNASE2; HLA-C; HSPA8; SLC2A3; ITGAM; LAMP1; EPX; IGF2R; FCGR2A; ANXA3; RNASE3; DEFA4; LAMP2; CYBA; EEF2; PRG2; SELL; MMP9; JUP; GNS; DSP; GLB1; PECAM1; CD36; HSPA6; PFKL; CR1; CD53; AOC1; TCN1; CD33; TNFRSF1B; RAB6A; ITGAL; ITGAX; FPR1; C5AR1; SLC2A5; MMP8; PTPRB; CXCR1; CXCR2; FPR2; PTAFR; CTSS; S100P; STOM; ATP6V0C; MAPK1; GCA; GRN; PTPN6; SERPINB3; FCER1G; SERPINB1; CEACAM8; CDA; GALNS; CD68; SERPINB6; AGL; CHI3L1; CEACAM3; FOLR3; FRK; PRCP; IQGAP1; GYG1; DNASE1L1; SLC11A1; PSEN1; RAB7A; HK3; IST1; VCP; NCKAP1L; GSDMD; RAB4B; RAB5B; RAB10; RAB14; ACTR2; RAP1B; RAP2B; LYZ; B2M; YPEL5; RAP1A; RAC1; VAMP2; EEF1A1; PAFAH1B2; ADAM8; RHOG; TNFAIP6; ATP11A; DSG1; PRKCD; DSC1; CD47; SIGLEC14; BST1; BST2; LRMP; PTPRJ; DNAJC3; KCNAB2; PLD1; ROCK1; TCIRG1; ASAH1; IQGAP2; RAB31; CDK13; MLEC; DYNC1H1; FGL2; MVP; STXBP2; MAPK14; ANO6; CLEC12A; UBR4; HGSNAT; OLFM4; NAPRT; NBEAL2; UNC13D; CYFIP1; DOK3; TMC6; C6orf120; GOLGA7; RAB44; ABCA13; CAND1; TICAM2; ADGRG3; TBC1D10C; SLC44A2; MCEMP1; ORMDL3; STK11IP; LILRB2; CD177; NFAM1; TSPAN14; ATP8B4; NCSTN; DOCK2; ARHGAP45; OSTF1; ATP6V0A1; RAB24; TMBIM1; HVCN1; PSMD1; NEU1; CPPED1; ARHGAP9; VAMP8; TOLLIP; MAGT1; DNAJC5; RHOF; MMP25; CD93; GPR84; TMEM30A; CMTM6; CTSZ; BIN2; CD300A; PYCARD; HPSE; ATP11B; PADI2; ATP8A1; PRG3; DERA; CAB39; RAP2C; ENPP4;	GO:0043312~neutrophil degranulation	247	483	51.1387163561077	0.000220503675662842	0.121855843763178	1	1	0.999999999479956	0.999999999479956	1
down	POLR2D; RBFOX2; HNRNPR; DUSP11; HNRNPC; HNRNPA1; HNRNPL; POLR2C; POLR2E; HNRNPA2B1; POLR2A; PTBP1; POLR2B; GTF2F1; POLR2I; RBMX; HNRNPA3; HNRNPM; POLR2H; POLR2J; HNRNPH2; POLR2F; HNRNPK; POLR2G; HNRNPU; HNRNPD; PCBP1; PCBP2; WDR74; METTL3; DDX54;	GO:0016070~RNA metabolic process	31	46	67.3913043478261	0.000230548226501481	0.0552709037744341	1	1	0.855387328115888	1	0.535818168794194
down	POLR2D; ERCC1; RPA2; ERCC2; LIG1; XRCC1; POLR2C; POLR2E; XPA; TCEA1; POLR2A; RPA1; POLD1; POLR2B; RPA3; RFC2; POLR2I; LIG3; CCNH; MNAT1; POLR2H; POLR2J; POLR2F; POLR2G; UBA52; ERCC6; GPS1; ERCC8; CUL4A; GTF2H2; POLD3; GTF2H5; COPS6; GTF2H4; ERCC4; ZNF830; XAB2; POLD4; POLK; ISY1; PPIE; COPS3;	GO:0006283~transcription-coupled nucleotide-excision repair	42	73	57.5342465753425	0.00026888290925553	0.0628082898286636	1	1	0.873410783211868	1	0.608888593145392
down	TNFRSF11B; AGRN; MATN3; DNAJB6; ITGA10; MATN4; COL1A1; COL2A1; COL3A1; COL4A1; FN1; VTN; PDGFA; VWF; ICAM1; ITGB1; ITGAV; THBS1; COL4A2; ITGA5; SPARC; ATXN1L; HAPLN1; COL11A1; COL6A1; COL6A3; ITGA4; B4GALT1; ELN; CD44; ACAN; ERCC2; ITGB5; ITGB6; BCL3; COL9A1; MATN1; ITGA6; LAMA2; COL5A3; PTX3; FBN1; KDR; SERPINB5; COMP; COL4A4; ITGA1; ADAMTS20; HSPG2; NFKB2; COL4A3; ATP7A; LOXL1; FOXF2; PRDX4; ITGAD; MFAP5; ADAM15; MADCAM1; ITGA9; COL4A6; DAG1; LAMA3; HSD17B12; EGFLAM; OLFML2A; ERO1B; EGFL6; HPSE2; APBB2; BCAN; JAM3; SLC39A8; ADAM19; CRISPLD2; SPINK5; ST7; ITGA11; ICAM5; NOX1; POMT1; MMP20; COL27A1; MMP2; MMP24; COL28A1; MMP12; COL22A1; MMP10; MMP7; MMP16; MMP28; MMP26; MMP17; COL24A1; COL11A2; MMP21; RECK; VIT;	GO:0030198~extracellular matrix organization	99	230	43.0434782608696	0.000364848435389975	0.0791373630095874	1	1	0.900226489543246	1	0.767189136332024
