DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process_1	Hochberg step-up process	Benjamini and Yekutieli
down	IPO13; SNUPN; LMNA; TP53; DRD1; PIK3R1; MMP12; PTTG1IP; NUTF2; RAN; PPP3CA; HIKESHI; APPL2; IPO4; TMCO6; IPO9; PHB2; RANBP17; TXNIP; APPL1; TNPO3; CSE1L; NUP214; FAM53A; NXT1; NUP155; FAM53B; POM121B; SPRN; RANBP6; NXT2; HEATR3; NUP93; POM121L2;	GO:0006606~protein import into nucleus	34	79	43.0379746835443	1.02613174638888e-4	0.0284466523026695	0.765391669631466	0.768059612172077	0.697564361195161	0.765391669631466	0.270184561512987
down	PRMT5; TP73; NUAK1; RAD17; MTA2; MBD3; TP53; CSNK2A2; CDK2; RFC4; RFC3; NOP2; TAF6; BLM; BRPF1; RPL11; CSNK2B; CDK5; SSRP1; POU4F2; PIN1; BOP1; WRN; TAF5; TAF13; TAF11; TAF7; TAF12; TAF9; TTC5; HIPK4; ATRIP; TAF4B; RAD50; KAT5; AURKB; EHMT2; BARD1; RHNO1; BRIP1; PLK3; MEAF6; TAF9B; SMYD2; PRKAG2; TPX2; EXO1; NOC2L;	GO:1901796~regulation of signal transduction by p53 class mediator	48	131	36.6412213740458	1.1665380061654e-4	0.0294154876785542	0.870004044998153	0.873153697614799	0.727868376318042	0.870004044998153	0.279386500582179
down	HMGN1; ERCC2; LIG1; XRCC1; POLR2C; POLR2E; ERCC3; XPA; TCEA1; POLD1; POLR2B; RFC4; RFC3; MNAT1; POLR2J; COPS2; POLR2F; POLR2G; POLR2L; RBX1; RPS27A; UBA52; GTF2H5; COPS6; ERCC4; ZNF830; COPS8; COPS4; COPS7B; XAB2; ISY1; COPS3;	GO:0006283~transcription-coupled nucleotide-excision repair	32	73	43.8356164383562	1.23825749521744e-4	0.029897926940976	0.923120962684604	0.926835735170256	0.742019611763315	0.923120962684604	0.28396867915234
down	MEN1; NDC80; XRCC2; ENSA; AKAP8; BUB1B; TADA3; DCTN3; YEATS4; HGF; NUP214; CETN2; CENPF; NEK3; NEK4; PPP5C; PLK1; CLTCL1; RAN; CENPE; PHF13; SKA2; SKA1; CDCA5; PKMYT1; TBCD; AZI2; KIF15; NUDT15; ANAPC11; FBXL7; TPX2; USP3; TUBB4B; TUBB2A; PLK4; PLK3; TUBB8; MYB; PLK2; TUBA1A; TUBGCP4; ZNF830; TUBE1; TUBB; CDC14B; TUBGCP5; TUBA1C;	GO:0000278~mitotic cell cycle	48	134	35.8208955223881	1.79416248534792e-4	0.0394979594200858	1	1	0.821353908508462	0.999999992645476	0.375149199738071
down	PSMB11; PSMD11; PSMD9; UBE2C; PSMA7; BUB1B; PSMD10; PSMC3; ERCC2; ERCC3; PSMB1; PSMB8; PSMA5; PSMB4; CDC27; PSMC2; PSMB3; UBE2D1; PLK1; PSMC1; TFAP4; CDC20; CDC16; MAD2L1; CUL1; NEK11; CDC26; ANAPC11; ANAPC7; ANAPC4; FBXO5; ANAPC10; BTRC;	GO:1901990~regulation of mitotic cell cycle phase transition	33	80	41.25	2.3937178136324e-4	0.0511913652429672	1	1	0.864399740354344	0.999999992645476	0.486212452145882
down	PSMB11; PSMD11; PSMD9; MEN1; QSOX1; SOCS2; PSMA7; VGF; CCDC22; OBSL1; PSMD10; WFS1; CP; CST3; KNG1; APOE; APP; LAMB1; MELTF; LAMC1; VCAN; UCHL3; PSMC3; RAB3A; PSMB1; IGFBP4; CHML; PSMB8; PSMA5; PSMB4; SDC2; PSMC2; CCNF; PSMB3; RAB13; RABGGTB; FBXW4; COPS2; WDR5; PSMC1; RAB11A; RBX1; CKAP4; SKP2; MSLN; CUL1; CUL2; LTBP1; CUL7; VWA1; SPSB3; FBXW12; COPS6; KTN1; KBTBD6; COMMD1; GOLM1; UBA3; RHBDD1; KBTBD7; ASB5; SCG3; ASB11; ASB10; ASB17; DDB2; RABGGTA; CUL5; UBE2F; FBXO32; ANKRD9; FBXL8; DCAF5; SENP8; ASB16; SPSB2; COPS8; COPS4; CHRDL1; KLHL25; RAB1B; CCDC8; FBXL15; FN3K; COPS7B; CISH; KLHL11; DTL; KLHL42; KLHL13; FBXL7; FBXW11; FBXO4; FBXL3; COPS3; BTRC; FBXO7; ASB1;	GO:0043687~post-translational protein modification	98	344	28.4883720930233	2.68000273901947e-4	0.0544359103211879	1	1	0.878380442125008	0.999999992645476	0.517028942604618
down	CCNT2; CCNK; SNAPC5; POLR2C; POLR2E; GTF2E1; POLR2B; TAF6; POLR2J; POLR2F; POLR2G; POLR2L; GTF2B; SNAPC2; TAF5; TAF13; TAF11; TAF9; ICE2; INTS5; INTS8; ZC3H8; INTS12; NABP2; INTS2; RPRD1B; INTS9; INTS7; INTS10; ICE1;	GO:0042795~snRNA transcription by RNA polymerase II	30	70	42.8571428571429	2.69088668254369e-4	0.0544359103211879	1	1	0.878898046178126	0.999999992645476	0.517028942604618
down	TTC26; MCIDAS; GSN; ARL3; NME5; ATP6V0D1; IFT88; FAM161A; ARL13B; CFAP70; KIF24; CEP162; TMEM107; TMEM17; SPAG16; AHI1; BBS5; IFT81; FOXJ1; WDR34; IFT43; TCTN2; TXNDC15; WDR90; UBXN10; HYLS1; CFAP54; NEK1; TMEM237; BBS4; CEP89; FUZ; CEP41; WDR11; FHDC1; WWTR1; CCDC113; TMEM231; TMEM138; MKKS; PARVA; MKS1; CELSR3; PLA2G3; WDR35; HDAC6; IFT172; RAB23; HSPB11; CEP83; ATP6V1D; CFAP20; TEKT2; BBS9; TEKT4; CDC14B; TRAF3IP1; CLUAP1; IFT80; CDKN3;	GO:0060271~cilium assembly	60	187	32.085561497326204	3.5592275362395e-4	0.0663748270480179	1	1	0.914365554059926	0.999999992645476	0.630424042543176
down	MEN1; TP73; SUV39H1; XRCC3; NUAK1; KIN; POLQ; PPP1R15A; CCNK; RAD17; RNF8; TP53; PARP1; BCL2; TOP2A; RPS3; CCND1; MCM7; DDIT3; RAD52; CBX5; YAP1; NEK4; BLM; CASP9; WDR4; RAD51; FOXO1; WRN; TAF9; ZRANB3; RIF1; MCM10; METTL3; C17orf53; SPATA18; MAPK15; RAD50; ALKBH8; DDX11; HMCES; USP28; MMS19; BARD1; NABP2; MACROD1; ALKBH7; PLK3; WDR76; ZMAT3; PIDD1; TOPORS; FANCL; AATF; ETAA1; SMARCAL1; DTL; ZBTB4; ASH2L; BAZ1B; MCM8; VAV3; MCTS1; TIMELESS; ZBTB1; OARD1; MORC2; AKTIP; ZBTB47; FANCF; FANCG; BCCIP; ZBTB5; ZBTB18;	GO:0006974~cellular response to DNA damage stimulus	74	245	30.2040816326531	3.60537078651468e-4	0.0663748270480179	1	1	0.916009830161005	0.999999992645476	0.630424042543176
down	IGKV3D-20; IGKV1-12; IGLC7; IGKV2-29; PSMB11; PSMD11; PSMD9; PSMA7; MAP3K7; PSMD10; BCL10; FOS; IGKV1D-16; IGKV1D-12; IGKV2D-40; IGKV3-15; IGLV1-44; IGLV1-47; IGLV1-51; IGLV2-8; IGLV3-19; IGLV6-57; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-13; IGHV3-30; IGHV3-33; IGHV2-70; IGKV1-16; JUN; IGKV2-30; IGKV5-2; IGLC6; IGLC2; IGLC3; FCER1A; PPP3CB; FER; PSMC3; PSMB1; IGHV1-2; PIK3R1; PSMB8; PSMA5; PSMB4; SHC1; PSMC2; PSMB3; PSMC1; PPP3CA; CUL1; TAB1; FBXW11; VAV3; BTRC;	GO:0038095~Fc-epsilon receptor signaling pathway	56	171	32.7485380116959	3.6357620694305e-4	0.0663748270480179	1	1	0.917068868504379	0.999999992645476	0.630424042543176
