DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process_1	Hochberg step-up process	Benjamini and Yekutieli
down	RPLP1; RPLP2; RPS17; RPS2; RPL35A; RPL17; RPS4Y1; RPS3; RPS12; RPL13; RPL10; RPL12; RPL9; RPL22; SRP14; RPL13A; RPS27; RPL35; RPL27A; RPL5; RPL28; RPS9; RPS5; RPL29; RPL34; RPL14; RPL26; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPS11; RPS4X; RPL23A; RPS6; RPL23; RPS25; RPS28; RPL30; RPL31; RPL10A; RPL32; RPL8; RPL41; RPS27A; RPL38; RPS21; RPL24; RPL36A; RPL18A; RPL6; RPL36;	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	58	89	65.1685393258427	2.317018519985e-4	0.348867237045199	1	1	0.985896382404884	0.999003609585043	1
down	CASC3; PARN; RPLP1; RPLP2; RPS17; PABPC1; RPS2; RPL35A; RPL17; RPS4Y1; RPS3; RPS12; RPL13; RPL10; RPL12; PPP2R1A; RPL9; RPL22; RPL13A; RPS27; RPL35; RPL27A; RPL5; RPL28; RPS9; RPS5; RPL29; RPL34; RPL14; EIF3E; RPL26; MAGOH; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPS11; RPS4X; RPL23A; RPS6; RPL23; RPS25; RPS28; RPL30; RPL31; RPL10A; RPL32; RPL8; RPL41; RPS27A; RPL38; RPS21; RPL24; RPL36A; RPL18A; RPL6; NCBP1; SMG7; SMG1; PYM1; UPF2; SMG5; RPL36; RBM8A; DHX34;	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	71	117	60.6837606837607	2.43084824326001e-4	0.348867237045199	1	1	0.988365238374733	0.999003609585043	1
down	GGT3P; RPL37AP8; MRPS14; EGFR; RPLP1; RPLP2; RPS17; RPS2; RPL35A; RPL17; GGT1; RPS4Y1; RPS3; RPS12; RPL13; RPL10; RPL12; RPL9; RPL22; GGT2; IGHMBP2; RPL13A; RPS27; RPL35; RPL27A; RPL5; RPL28; RPS9; RPS5; RPL29; RPL34; HARS2; RPL14; RPL26; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPS11; RPS4X; RPL23A; RPS6; RPL23; RPS25; RPS28; RPL30; RPL31; RPL10A; RPL32; RPL8; RPL41; RPS27A; RPL38; RPS21; MRPS15; MRPS21; RPL24; RPL36A; RPL18A; RPL6; EIF4EBP2; MRPL23; MRPL51; RPS26P11; RPL13AP3; CPEB2; MRPL52; MRPL43; RPL3L; COPS5; RPL36AL; RPL10L; MRPL34; MRPL32; MRPL13; MRPL9; MRPL18; MRPL35; MRPL27; RRBP1; RPL36; EEF1A1; MRPL24; RPS4Y2; MRPS5; MRPS11; MRPS7; MRPS12; MRPL57; EEF1A1P5;	GO:0006412~translation	96	175	54.8571428571429	3.48295515635755e-4	0.428453240734212	1	1	0.996546781011578	0.999003609585043	1
up	SNAP23; PSMD11; PSMD12; SIRPB1; QSOX1; PSMD14; SDCBP; DDX3X; MAN2B1; APAF1; CEP290; DEGS1; SCAMP1; SURF4; ARPC5; GMFG; DIAPH1; LILRB3; PGLYRP1; CREG1; IDH1; TRPM2; STK10; AP2A2; ATG7; BRI3; VNN1; RAB3D; CYB5R3; PNP; HP; SERPINA3; PIGR; HLA-B; HLA-H; LRG1; FTL; SLPI; A1BG; ARG1; ITGB2; GLA; GSN; PYGL; ITGAV; ANXA2; PSAP; APRT; CTSB; HSP90AB1; MME; PTPRC; HMGB1; CTSH; ALOX5; LTA4H; HLA-C; MGST1; ITGAM; EPX; IGF2R; ANXA3; CEACAM1; PRG2; CD59; SELL; PKM; MMP9; B4GALT1; GNS; ARSB; TIMP2; CD44; GLB1; PECAM1; HSPA6; CR1; PSMC3; VCL; CD58; CD53; ORM2; NFKB1; CD33; TNFRSF1B; ITGAX; IMPDH1; AGA; MMP8; PTPRB; FPR2; CTSS; ATP6V0C; GCA; PTPN6; FCER1G; HMOX2; SERPINB1; S100A11; CDA; SERPINB6; PSMC2; DDOST; CEACAM3; CEACAM6; ACTR1B; PRCP; ALDH3B1; IQGAP1; GLIPR1; DNASE1L1; SLC11A1; RAB5C; RAB27A; ACLY; CTSC; CRISP3; VCP; NCKAP1L; GSDMD; RAP1B; RAP2B; RHOA; LYZ; B2M; DYNLL1; DYNLT1; PAFAH1B2; SIRPA; CCT2; OLR1; RHOG; ATP11A; AMPD3; CAP1; CKAP4; CD47; SIGLEC14; BST2; ILF2; PTPRJ; PSMD2; DNAJC3; CHIT1; KCNAB2; ROCK1; TCIRG1; ASAH1; COTL1; DYNC1H1; KPNB1; PSMD6; C3AR1; UBR4; NBEAL2; UNC13D; DOK3; TMC6; RAB44; HUWE1; ABCA13; CAND1; ARMC8; GHDC; SLC15A4; SVIP; MOSPD2; PLEKHO2; ATP8B4; DOCK2; ARHGAP45; GGH; OSTF1; RAB24; LRRC7; CNN2; PSMD1; VAT1; CPNE1; CPPED1; ARHGAP9; ERP44; FUCA2; AP1M1; CRISPLD2; MAGT1; CYSTM1; RHOF; RAB18; MMP25; NIT2; TMEM30A; CMTM6; PLAC8; COMMD9; COMMD3; BIN2; DPP7; DBNL; PA2G4; HPSE; ATP11B; PRG3; RAP2C; ATP6V1D; TRAPPC1; HEBP2; DYNC1LI1; ENPP4;	GO:0043312~neutrophil degranulation	209	483	43.2712215320911	5.55271670715562e-4	0.820112517296307	1	1	0.999999826673597	0.999999826673597	1
up	PSMB11; SNAP23; PSMD11; PSMD12; PSMD9; PSMD14; PSMA7; TAPBP; SEC22B; PSMD10; HLA-B; HLA-H; ITGAV; HLA-C; HLA-E; NCF1; PSMC3; PSMA1; PSMA3; PSMA4; CALR; PDIA3; HLA-F; PSMC2; PSMB10; PSMC4; PSMD8; PSMB3; PSMB2; PSMA6; PSME3; B2M; PSMC1; PSMC6; TAP1; TAP2; PSME1; PSMD2; PSME4; PSMD6; NCF4; PSMD1; PSME2; IKBKG;	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	44	75	58.6666666666667	0.00193898163052431	0.820112517296307	1	1	0.999999826673597	0.999999826673597	1
up	E2F3; PPM1D; MED24; MED6; MED26; NPPA; CDK4; NR2C1; RARG; GTF2F2; CCNB1; TCF4; ERCC2; POLR2C; POLR2E; ERCC3; CCND1; CCNC; POLR2A; TEAD1; RXRB; GTF2E1; GTF2E2; POLR2B; RORA; CDKN1A; NR4A2; NOTCH1; YAP1; TAF6; CDK9; CCNH; MNAT1; GTF2A1; POLR2K; POLR2L; GTF2I; ZNF45; NOTCH2; RBPJ; BAX; TAF10; GTF2H3; RUNX2; CBFB; NR1I3; NR1D2; TAF5; TAF13; TAF11; MED1; TAF12; TAF9; TAF3; TAF2; MED27; GTF2H5; NR2C2AP; TAF1L; NR4A3; ESR2; TAF4B; RORB; NRBF2; MED8; MED15; NOTCH4; TBX5; TEAD3; MED10; WWTR1; TAF9B; MED17; NRBP1; MED23; NOTCH3; THRAP3; NR2E1; NR2E3;	GO:0006367~transcription initiation from RNA polymerase II promoter	79	161	49.0683229813665	0.00252766788169401	0.820112517296307	1	1	0.999999826673597	0.999999826673597	1
up	PSMB11; PSMD11; PSMD12; PSMD9; PSMD14; PSMA7; XPO1; PSMD10; TNFSF13; HSPB1; VIM; PSMC3; PSMA1; PSMA3; PSMA4; ZFP36; APEX1; AKT1; NUP214; PSMC2; PSMB10; PSMC4; PSMD8; MAPKAPK2; PSMB3; PSMB2; PCBP4; PSMA6; PSME3; PSMC1; PSMC6; CACNG7; YWHAZ; SET; EIF4G1; EXOSC9; PSME1; PSMD2; PABPC4; PSME4; PSMD6; EXOSC7; ELAVL1; PCID2; EXOSC6; DCP2; XRN1; TNPO1; PSMD1; RBM24; DCP1A; EXOSC5; PSME2; CARHSP1; EXOSC1; SAMD4B; SAMD4A; FXR2; CSDC2;	GO:0043488~regulation of mRNA stability	59	112	52.6785714285714	0.00257956924016078	0.820112517296307	1	1	0.999999826673597	0.999999826673597	1
up	PSMB11; PSMD11; PSMD12; PSMD9; PSMD14; PSMA7; PSMD10; PSMC3; PSMA1; PSMA3; PSMA4; AKT1; PSMC2; PSMB10; PSMC4; PSMD8; PSMB3; PSMB2; PSMA6; PSME3; PSMC1; PSMC6; NFKB2; RELB; PSME1; PSMD2; BIRC3; IKBKE; PSME4; PSMD6; PSMD1; PSME2; ALK; DICER1; BTRC; RELA; REL; NFKB1;	GO:0038061~NIK/NF-kappaB signaling	38	63	60.3174603174603	0.00266755687835429	0.820112517296307	1	1	0.999999826673597	0.999999826673597	1
down	RPLP1; RPLP2; RPS17; TPR; RPS2; RPL35A; RPL17; RPS4Y1; RPS3; RPS12; RPL13; RPL10; RPL12; RPL9; RPL22; RPL13A; RPS27; RPL35; RPL27A; RPL5; RPL28; RPS9; RPS5; RPL29; RPL34; RPL14; RPL26; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPS11; RPS4X; RPL23A; RPS6; RPL23; RPS25; RPS28; RPL30; RPL31; RPL10A; RPL32; RPL8; RPL41; RPS27A; RPL38; RPS21; RPL24; RPL36A; RPL18A; RPL6; NUP160; POM121; RPL36;	GO:0019083~viral transcription	60	109	55.045871559633	0.00377536535737211	0.916986392762727	1	1	0.999003609585044	0.999003609585043	1
down	LCE6A; KRTAP16-1; KRTAP29-1; KRTAP9-1; LCE2B; KRTAP5-8; KRT33A; KRT36; KRT37; KRT14; KRT6A; KRT6B; KRT18; KRT8; KRT16; KRT3; KRT10; KRT13; JUP; DSP; KRT15; KRT4; KRTAP5-9; CASP14; SFN; KRT20; KRT6C; KRTAP10-2; KRTAP10-3; KRTAP10-6; KRTAP10-8; KRT85; DSG1; DSC2; KRT17; KRTAP1-1; TGM3; DSC1; PKP1; DSG2; KRT72; KRT31; KRT24; KRT71; KRTAP13-2; LCE3E; LCE1C; LCE1E; LCE1B; LCE4A; LCE2A; LCE2C; LCE5A; KRT79; KRT39; KRTAP5-11; KRTAP5-10; KRTAP5-7; KRTAP5-4; KRTAP5-3; KRTAP5-2; KRT74; KRT28; KRT27; KRT26; KRT25; KRT77; ABCA12; KRT73; KRTAP11-1; KRTAP1-3; KRT78; KRT35; KRT12; PKP2; CNFN; KRTAP17-1; KRTAP4-6; KRTAP4-11; KRTAP4-1; KRTAP4-9; KRTAP4-3; KRTAP3-3; KRTAP3-2; KRTAP3-1; KRT23; SHARPIN; KRT84; KRT82; PKP3;	GO:0031424~keratinization	90	181	49.7237569060773	0.00462036988081738	0.916986392762727	1	1	0.999003609585044	0.999003609585043	1
