superkingdom	phylum	class	order	family	genus	species
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	NA	NA	NA
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	NA	NA	NA
Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	NA	NA	NA
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	NA	NA	NA
Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	NA	NA	NA
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Frankiales	NA	NA	NA
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	NA	NA	NA
Bacteria	Planctomycetes	Planctomycetia	Gemmatales	NA	NA	NA
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	NA	NA	NA
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	NA	NA	NA
Bacteria	Cyanobacteria	NA	Gloeoemargaritales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Glycomycetales	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Halanaerobiales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	NA	NA	NA
Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	NA	NA	NA
Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Immundisolibacterales	NA	NA	NA
Bacteria	Planctomycetes	Planctomycetia	Isosphaerales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Jiangellales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Kineosporiales	NA	NA	NA
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	NA	NA	NA
Bacteria	Thermotogae	Thermotogae	Kosmotogales	NA	NA	NA
Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	NA	NA	NA
Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	NA	NA	NA
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	NA	NA	NA
Bacteria	Firmicutes	Limnochordia	Limnochordales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Magnetococcales	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	NA	NA	NA
Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	NA	NA	NA
Bacteria	Thermotogae	Thermotogae	Mesoaciditogales	NA	NA	NA
Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	NA	NA	NA
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	NA	NA	NA
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Nakamurellales	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Natranaerobiales	NA	NA	NA
Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	NA	NA	NA
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	NA	NA	NA
Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	NA	NA	NA
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	NA	NA	NA
Bacteria	Cyanobacteria	NA	Nostocales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA	NA
Bacteria	Verrucomicrobia	Opitutae	Opitutales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	NA	NA	NA
Bacteria	Cyanobacteria	NA	Oscillatoriales	NA	NA	NA
Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	NA	NA	NA
Bacteria	Thermotogae	Thermotogae	Petrotogales	NA	NA	NA
Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	NA	NA	NA
Bacteria	Planctomycetes	Planctomycetia	Pirellulales	NA	NA	NA
Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	NA
Bacteria	Cyanobacteria	NA	Pleurocapsales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	NA	NA	NA
Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	NA	NA	NA
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	NA	NA	NA
Bacteria	Bacteroidetes	Saprospiria	Saprospirales	NA	NA	NA
Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	Selenomonadales	NA	NA	NA
Bacteria	Proteobacteria	Oligoflexia	Silvanigrellales	NA	NA	NA
Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	NA	NA	NA
Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	NA	NA	NA
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Sporichthyales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	NA	NA	NA
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	NA	NA	NA
Bacteria	Cyanobacteria	NA	Synechococcales	NA	NA	NA
Bacteria	Synergistetes	Synergistia	Synergistales	NA	NA	NA
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	NA	NA	NA
Bacteria	Chloroflexi	Tepidiformia	Tepidiformales	NA	NA	NA
Bacteria	Deinococcus-Thermus	Deinococci	Thermales	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	NA	NA	NA
Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	NA	NA	NA
Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	NA	NA	NA
Bacteria	Thermotogae	Thermotogae	Thermotogales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA	NA
Bacteria	Firmicutes	Tissierellia	Tissierellales	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	Veillonellales	NA	NA	NA
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	NA	NA	NA
Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA	NA
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	NA	NA	NA
Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
Eukaryota	Ascomycota	Sordariomycetes	Magnaporthales	NA	NA	NA
Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	NA	NA	NA
Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	NA	NA	NA
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
Eukaryota	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
Eukaryota	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	NA	NA	NA
Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	NA	NA	NA
Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	NA	NA	NA
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	NA	NA	NA
Viruses	Artverviricota	Revtraviricetes	Blubervirales	NA	NA	NA
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	NA
Viruses	Uroviricota	Caudoviricetes	Caudovirales	NA	NA	NA
Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	NA	NA	NA
Viruses	Peploviricota	Herviviricetes	Herpesvirales	NA	NA	NA
Viruses	Preplasmiviricota	Tectiliviricetes	Kalamavirales	NA	NA	NA
Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	NA
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	NA
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	NA	NA	NA
Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	NA
Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	NA	NA	NA
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	NA	NA	NA
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	NA
Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	NA	NA	NA
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	NA	NA	NA
Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	NA	NA	NA
Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	NA	NA	NA
Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	NA	NA	NA
Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	NA	NA	NA
Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	NA	NA	NA
Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	NA	NA	NA
Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	NA	NA	NA
